"","H.G","Elec","P.A","Fashion"
"239",7495736.60879241,3547532.7113604,4931014.34806284,2738595.73997453
"240",12246575.8689881,4526576.57726797,7364856.28868446,4178479.58733441
"241",9920305.89906684,4862300.74116472,8018581.15686379,3141778.94565474
"242",8890633.20878047,4378146.75016145,7302675.32800556,2897235.55829895
"243",8681987.54404047,4468799.99840826,7551510.14239024,2973566.48034628
"244",7901567.9018446,4131215.41837751,5829134.7043956,2966029.39897383
"245",7164485.67222786,4574910.99202632,5110539.92895768,2704143.34399716
"246",7122303.09954139,3386615.49086849,4597770.36528588,2749259.32112761
"247",12284190.6230915,5004162.61714063,7111786.43656216,4542693.53803467
"248",10723289.3457431,5677577.35152212,7891864.07691277,3663326.32576555
"249",9729330.33786852,4975590.21001629,6974352.05027297,3527747.39901443
"250",7929422.30823927,4199947.4759678,5699197.52778141,2909575.58195494
"251",6490109.09563014,3540142.99752325,4340177.86341628,2582357.84424516
"252",7485073.98001671,3377863.30924636,4284504.60258473,2690400.1717137
"253",6375905.4383508,3087366.06209495,3837817.96150984,2261672.21044122
"254",7614168.54399463,3152254.89203756,4142703.80675582,3098472.55256305
"255",11045937.1136332,4252792.41815358,6435234.15270993,3432262.66381027
"256",9953506.09970608,4574508.83274893,7565877.53332913,3039906.09358148
"257",9133966.53998195,4298018.29567286,6793157.2997153,3000992.44702187
"258",8681642.98278368,3974299.79085993,6275930.23807217,2900862.06647552
"259",7188340.91105748,3320864.44263335,5080427.21918028,2429021.52896656
"260",7672202.486314,3028198.52156834,4630376.23320482,2576304.48263066
"261",12424078.6023843,4220266.65723201,7121465.08207671,3882617.39302309
"262",10587055.5277513,4455022.83004052,8265262.78086346,3235018.92773608
"263",9840032.66536911,4335521.79036725,7598889.08362192,3086776.15255469
"264",9181234.17820763,3967056.05647147,7090637.51764004,2929966.50453811
"265",8627099.88404263,3882545.62045673,6002898.7754418,2969230.5850588
"266",7465874.89944803,3494315.70503568,4943094.81058283,2533108.8814824
"267",7048488.58941037,2895253.79904981,4150373.84323293,2456615.70181897
"268",11928627.6875188,4026716.20075592,6670046.11556353,3831224.96200623
"269",10373906.6389665,4347465.87000473,7516648.39422785,3040131.14038048
"270",9322150.2045101,4017387.00476927,6710142.10594902,2924562.00342918
"271",9018388.57427949,4038284.54715017,6317174.98797191,2885223.9695518
"272",8223772.65914438,3831267.35397714,5657795.91739991,2786341.90509528
"273",6499571.82465946,3123065.63001487,4467416.67447053,2368723.30586738
"274",7052093.76566388,3125060.46685872,4201232.90241692,2547235.51286137
"275",11957630.8748589,4400781.80428801,6602719.33621086,3982612.18887472
"276",10135109.3482542,4794188.09412062,7428214.63338849,3417464.18498753
"277",9324476.48649524,4529270.12396913,6575470.2950978,3242348.40433934
"278",8574340.02131073,4251819.36322025,6028211.30866317,3115346.96223085
"279",7204910.65958908,4046081.71183416,4773248.80561381,2891608.36857044
"280",8941007.74046585,3942486.67390841,4819272.72314896,3413624.66522499
"281",7526093.64562481,3400902.17692849,4308359.39927813,2842284.91070709
"282",13241868.2446033,5129702.15407891,7048113.13034598,4663543.94528611
"283",10618118.1523717,4863651.0563674,7951508.0122724,3525394.9238304
"284",9822522.44500561,4639019.60709621,7063548.98973517,3412259.23684596
"285",9286717.23049582,4482837.98070464,6482228.92589709,3248210.76404254
"286",8500795.87030216,4211057.91602948,5786426.44022748,3079842.6376469
"287",7060132.43672283,3512835.6678558,4610641.37890431,2511799.19307338
"288",7077929.9036697,3170139.82410756,4174861.17040018,2541597.5201217
"289",11546087.7860761,4360085.18147396,6435561.47376219,3859171.1940515
"290",9833976.93595632,4606104.34848829,7066501.64479033,3086432.0070721
"291",8830673.16024959,4020889.81165113,6003264.34674331,2907335.7045274
"292",6695156.30486972,3661937.41823762,4621132.04390038,2338229.67705015
"293",8223921.74804007,3728536.42191781,4637044.91720944,2914589.23075718
"294",7556280.08486975,3489464.32206421,4983021.35121522,2684065.78309484
"295",6829661.47442903,2988127.5128438,3900595.61459126,2430854.86475849
"296",11587346.4434888,4299022.82430986,6439405.41705891,4020023.18650636
"297",9578673.24751207,4954746.71799504,7197068.02077567,3077898.1487489
"298",9065615.64836737,4987678.03158519,6657795.7668011,3113831.08837771
"299",8398337.25958631,4258787.84055876,5971634.66424089,2935137.24845555
"300",7475796.898954,3892735.73040121,5270043.05502902,2817977.15831684
"301",6054035.18970426,3270131.35626694,4120329.47849544,2334517.73267023
"302",5672402.16773862,2610259.80532398,3426019.60255414,2209986.86592096
"303",7653599.57876057,3005224.98727167,3913009.41712164,2797089.62651529
"304",11030020.9212529,4695050.92243229,6230490.97502319,3662130.43136707
"305",9595467.17708853,4720630.85690175,7061852.03408039,3132307.90221229
"306",9005223.32647653,4574260.33046797,6498844.70784148,3180366.95100457
"307",8856659.68794188,4719202.75880967,6311691.76304497,3363616.01814595
"308",7807134.23542044,4288054.72640573,5314552.0099875,3034402.23026364
"309",7460791.87637878,3583006.57634664,4434592.9639156,2963205.5003526
"310",11938981.9489743,4807387.59065435,6715222.66946772,4196691.22282996
"311",10342972.4731541,4930212.70093111,7349915.07508674,3508607.86240332
"312",9136362.22030341,4498105.66435434,6230685.178316,3276501.97011989
"313",7776416.60565372,4593489.09848423,5251530.33639673,3017116.48824436
"314",8588970.86110977,4370270.24374899,4690421.35969276,3370634.15133002
"315",7307429.2892541,3558861.65400389,4324915.42813034,2624854.94627311
"316",6486542.16719373,2931881.04589986,3543325.51305843,2439955.46158199
"317",11499558.5064412,4401802.65301593,5729216.19708112,3943498.52196079
"318",10208051.0961436,4979235.12576007,7195632.62560948,3424025.38372872
"319",9162354.44180867,4669206.86547783,6461111.97407509,3161482.94756615
"320",8750683.09960579,4523701.55836693,6117451.54097496,3089124.58059294
"321",8128859.18343964,4161350.03677783,5481366.06816833,3085866.19272316
"322",6735650.43953751,3483683.99824532,4282425.22484289,2436172.03887152
"323",6577293.00927512,3004630.6347989,3807902.17734018,2483501.31611
"324",11203904.2267479,4246951.22537966,5900266.22341103,3975077.10451904
"325",9843615.46573678,4921109.66386522,7235036.3783751,3153443.2765473
"326",8802692.12071827,4601359.06201436,6440980.38543207,2948979.65547871
"327",7996362.0242777,4453916.46785392,5895488.8821389,2838350.77696175
"328",7899394.9534413,4350692.58209325,5459081.73711615,2796731.49129253
"329",6692611.78668244,3590399.91687071,4418420.6091856,2377663.52524484
"330",6502762.51643926,3256715.13868193,3742499.58079898,2481839.51131545
"331",10576253.3378029,4595860.87746696,5821937.50073004,3789911.61293939
"332",9509959.04727707,4906605.31296696,6679516.27998934,3032473.23949081
"333",8700424.29267005,4724841.71607116,6011150.93936153,3001520.05249055
"334",7979202.76643154,4493895.32479809,5523768.21547641,2767681.85434559
"335",7466888.19275025,4180930.25408139,5158365.67445273,2619673.64366038
"336",6222430.74358801,3476964.21406612,4236862.19409543,2308390.06061694
"337",6516246.53788957,3113863.14537743,3827819.25444992,2424329.43173858
"338",10620464.3569966,4205228.15474222,5600350.53285606,3683779.47454281
"339",10358695.7605236,4761081.09830428,7308806.34904645,3347727.53992798
"340",9928755.79121178,4657280.38905734,6775025.88897358,3280924.60816957
"341",9009662.00162475,4245119.55763194,5962416.37713234,3021201.83227871
"342",8676000.16320291,4000825.04989394,5197168.14019129,2905970.73291283
"343",7047573.2319715,3357533.55544768,4130623.78072517,2430639.52686036
"344",7346316.89008906,2697777.59189325,3145746.7015104,2271836.8348189
"345",11529132.3188067,4093233.57216854,4994032.66757764,3465037.1195221
"346",10307972.9363653,4488155.91255205,6516727.11290614,3073687.42817488
"347",9139722.15182756,4185604.13087882,6036440.70621827,2898213.02367221
"348",8531093.10498381,4363570.98958671,5901315.37146518,2926732.07024766
"349",7784472.79174825,4190751.44937804,5407377.55418064,2757082.31582216
"350",6235801.65328096,3577848.36718247,4257951.11870772,2307105.71324504
"351",5748777.07939863,2851731.0645857,3475413.25218711,2154418.22660471
"352",10384490.0336007,4350903.15262299,5598067.59027394,3564708.18620133
"353",9345416.63006245,4927674.76242636,6849229.89085216,2970058.12545704
"354",8789503.24188028,4667726.66822613,6312996.78573977,2968403.96881197
"355",8007033.97538817,4450816.96551899,5800791.22371685,2676125.16623444
"356",7436241.35339442,4048071.25710862,5036916.26261823,2600705.59555694
"357",6242579.85794284,3326697.47005982,4055708.70326604,2184511.51728539
"358",5934844.92762972,2939006.85994333,3441078.13988949,2143926.86690695
"359",10512927.0135396,4341614.57128754,5669949.67566774,3569418.68147781
"360",9230769.59705858,4790011.73089402,6614210.83678396,2828670.20609036
"361",8497722.08995857,4274690.05655426,5895013.55674351,2562413.79666375
"362",7978122.34547179,4198728.16687518,5417238.99683236,2515481.07597678
"363",7342742.98986986,4116327.50822759,5004192.89866326,2476070.74584178
"364",5937921.48071191,3417948.72927936,4000403.0813171,2113724.85565665
"365",5753012.36168745,2802114.76580391,3279538.38517711,2025109.30025243
"366",10021745.8635992,4187634.01514243,5275813.51562001,3379882.67413052
"367",9098459.1160652,4683190.6994687,6355960.4790129,2860751.73220897
"368",8983961.32412339,4764391.89495946,6020244.36995156,2818228.29329107
"369",8892798.60599387,4726409.09566008,5818828.12064088,2977112.73260946
"370",8325738.64277134,4419863.94030374,5322361.48048025,2878003.5648067
"371",6644703.16010327,3621958.10517429,4275560.58000276,2336162.88282675
"372",6498485.94194393,2859888.57480002,3453603.13195927,2230100.54947881
